dataset,fold,coverage,rule,auprc,logloss,prevalence
sweep_42739,0,0.5,tree_confidence,0.9424981770637393,0.16813172835707013,0.2602369881505925
sweep_42739,0,0.5,lattice_support,0.8162927957983312,0.39902895052214393,0.33643317834108294
sweep_42739,0,0.5,pattern_depth,0.808895290651029,0.40710804591874983,0.3385330733463327
sweep_42739,0,0.5,random,0.8210482123274202,0.4008876719165716,0.34603269836508177
sweep_42739,0,0.7,tree_confidence,0.8934542506040921,0.27589872567596835,0.2907960998607093
sweep_42739,0,0.7,lattice_support,0.8233587065413911,0.3836336626322083,0.329154612664738
sweep_42739,0,0.7,pattern_depth,0.8096037062024796,0.3936341484933198,0.32626165220186437
sweep_42739,0,0.7,random,0.820872425473209,0.39933828762234824,0.34458373513339763
sweep_42739,0,0.9,tree_confidence,0.8463686787142551,0.3620696333168209,0.32708333333333334
sweep_42739,0,0.9,lattice_support,0.8235686564309876,0.3889731735331123,0.33566666666666667
sweep_42739,0,0.9,pattern_depth,0.8213387387289344,0.39560228340925413,0.3405
sweep_42739,0,0.9,random,0.8236354451020568,0.3969555072059496,0.3451666666666667
sweep_42739,1,0.5,tree_confidence,0.9514391027772467,0.16878744584646974,0.28232823282328234
sweep_42739,1,0.5,lattice_support,0.8375629821307424,0.37759992743215415,0.3333333333333333
sweep_42739,1,0.5,pattern_depth,0.8192366042402992,0.3945290608016307,0.3343834383438344
sweep_42739,1,0.5,random,0.8273805719333392,0.39359958099119247,0.34053405340534054
sweep_42739,1,0.7,tree_confidence,0.9053994295620623,0.2714017240922591,0.30118932819029254
sweep_42739,1,0.7,lattice_support,0.8352846385423878,0.3700220361696215,0.32561877209900353
sweep_42739,1,0.7,pattern_depth,0.8153487325467794,0.38857818961052715,0.32508303867995286
sweep_42739,1,0.7,random,0.8338153375825859,0.3916725806161656,0.3466195221257902
sweep_42739,1,0.9,tree_confidence,0.8540141890099381,0.35964020371905137,0.329610800900075
sweep_42739,1,0.9,lattice_support,0.8308012424264432,0.3839514547880409,0.3360280023335278
sweep_42739,1,0.9,pattern_depth,0.826112076995272,0.39311093470912983,0.33986165513792815
sweep_42739,1,0.9,random,0.8292673573552891,0.39347739926979575,0.34352862738561546
sweep_42739,2,0.5,tree_confidence,0.9365930286128284,0.16830057420129266,0.25637563756375636
sweep_42739,2,0.5,lattice_support,0.8245521583916227,0.3906977479934272,0.33663366336633666
sweep_42739,2,0.5,pattern_depth,0.8019747814250539,0.4095066275971541,0.33648364836483646
sweep_42739,2,0.5,random,0.8223799328450282,0.39582084853806865,0.34353435343534355
sweep_42739,2,0.7,tree_confidence,0.8905788607646052,0.2771631649136396,0.2955105539483553
sweep_42739,2,0.7,lattice_support,0.8281730957983142,0.3802567252491071,0.33183327975999144
sweep_42739,2,0.7,pattern_depth,0.7993805534587242,0.39749449343928794,0.32294010500375014
sweep_42739,2,0.7,random,0.8252934445923651,0.3930225639606008,0.3429765348762456
sweep_42739,2,0.9,tree_confidence,0.842732744791845,0.363280592988926,0.32802733561130093
sweep_42739,2,0.9,lattice_support,0.8231753769483307,0.3889314203487615,0.3363613634469539
sweep_42739,2,0.9,pattern_depth,0.8165637545290882,0.39744934668809095,0.339528294024502
sweep_42739,2,0.9,random,0.8221828807155637,0.39518770505565204,0.3433619468289024
